Year,Name,Position,Age,Height (in),Weight (lbs),RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate,Catch%,YardsPerReception,YardsPerTarget,YACPerReception,TDperReception,TDperTarget,YardsPerRush,TDperRush,TotalYardsPerTouch,TotalTDsPerTouch,TeamPassingYardsPerAttempt,TeamRushingYardsPerAttempt,TeamPassingTDPercentage,TeamRushingTDPercentage,TeamYardsPerPlay,TeamPointsPerYard
2019,A.J. Brown,WR,22,73,226,60,3,1,52,1051,8,84,462,1111,9,Titans,TEN,402.0,331.0,5805.0,448.0,3582.0,29.0,445.0,2223.0,21.0,317.0,17.0,0.7736,0.069251,7.995536,4.995506,0.019037,0.6190476190476191,20.21153846153846,12.511904761904763,8.884615384615385,0.15384615384615385,0.09523809523809523,20.0,0.3333333333333333,20.2,0.16363636363636364,7.995535714285714,4.995505617977528,0.06473214285714286,0.04719101123595506,6.500559910414334,0.06925064599483204
2020,A.J. Brown,WR,23,72,226,0,0,0,70,1075,11,106,426,1075,11,Titans,TEN,491.0,439.0,6343.0,485.0,3653.0,33.0,521.0,2690.0,26.0,381.0,12.0,0.7424,0.077408,7.531959,5.163148,0.011928,0.660377358490566,15.357142857142858,10.141509433962264,6.085714285714285,0.15714285714285714,0.10377358490566038,0.0,0.0,15.357142857142858,0.15714285714285714,7.531958762886598,5.163147792706334,0.06804123711340206,0.04990403071017274,6.305168986083499,0.07740816648273688
2021,A.J. Brown,WR,24,73,226,10,2,0,63,869,5,105,235,879,5,Titans,TEN,419.0,354.0,5822.0,535.0,3418.0,22.0,551.0,2404.0,23.0,362.0,25.0,0.625,0.071968,6.388785,4.362976,0.02302,0.6,13.793650793650794,8.276190476190477,3.7301587301587302,0.07936507936507936,0.047619047619047616,5.0,0.0,13.523076923076923,0.07692307692307693,6.388785046728972,4.362976406533575,0.041121495327102804,0.041742286751361164,5.360957642725599,0.07196839574029543
2022,A.J. Brown,WR,25,73,226,0,0,0,88,1496,11,145,552,1496,11,Eagles,PHI,477.0,344.0,6614.0,536.0,4105.0,25.0,544.0,2509.0,32.0,385.0,19.0,0.68,0.07212,7.658582,4.612132,0.017593,0.6068965517241379,17.0,10.317241379310344,6.2727272727272725,0.125,0.07586206896551724,0.0,0.0,17.0,0.125,7.6585820895522385,4.612132352941177,0.04664179104477612,0.058823529411764705,6.124074074074074,0.07211974599334744
2023,A.J. Brown,WR,26,73,226,0,0,0,106,1456,7,158,473,1456,7,Eagles,PHI,433.0,428.0,6024.0,563.0,3834.0,24.0,510.0,2190.0,22.0,377.0,28.0,0.5968,0.071879,6.809947,4.294118,0.026095,0.6708860759493671,13.735849056603774,9.215189873417721,4.462264150943396,0.0660377358490566,0.04430379746835443,0.0,0.0,13.735849056603774,0.0660377358490566,6.809946714031971,4.294117647058823,0.04262877442273535,0.043137254901960784,5.614165890027959,0.07187915006640107
2016,A.J. Derby,TE,25,77,255,0,0,0,16,160,0,19,49,160,0,Broncos,DEN,333.0,297.0,5169.0,570.0,3685.0,20.0,410.0,1484.0,11.0,290.0,25.0,0.4681,0.064423,6.464912,3.619512,0.02551,0.8421052631578947,10.0,8.421052631578947,3.0625,0.0,0.0,0.0,0.0,10.0,0.0,6.464912280701754,3.6195121951219513,0.03508771929824561,0.026829268292682926,5.274489795918368,0.06442251886244922
2017,A.J. Derby,TE,26,77,255,0,0,0,21,244,2,41,93,244,2,Dolphins,MIA,281.0,393.0,4923.0,602.0,3535.0,24.0,360.0,1388.0,4.0,284.0,29.0,0.5263,0.057079,5.872093,3.855556,0.030146,0.5121951219512195,11.619047619047619,5.951219512195122,4.428571428571429,0.09523809523809523,0.04878048780487805,0.0,0.0,11.619047619047619,0.09523809523809523,5.872093023255814,3.8555555555555556,0.03986710963455149,0.011111111111111112,5.117463617463618,0.05707901685963843
2018,A.J. Derby,TE,27,77,240,0,0,0,3,48,1,5,9,48,1,Dolphins,MIA,319.0,433.0,4638.0,455.0,2900.0,26.0,371.0,1738.0,7.0,252.0,23.0,0.5161,0.06878,6.373626,4.684636,0.027845,0.6,16.0,9.6,3.0,0.3333333333333333,0.2,0.0,0.0,16.0,0.3333333333333333,6.373626373626373,4.684636118598383,0.05714285714285714,0.018867924528301886,5.61501210653753,0.06877964639931004
2015,A.J. Green,WR,27,76,207,0,0,0,86,1297,10,132,350,1297,10,Bengals,CIN,419.0,279.0,5728.0,505.0,3923.0,31.0,467.0,1805.0,18.0,324.0,17.0,0.65,0.073149,7.768317,3.865096,0.01749,0.6515151515151515,15.081395348837209,9.825757575757576,4.069767441860465,0.11627906976744186,0.07575757575757576,0.0,0.0,15.081395348837209,0.11627906976744186,7.768316831683168,3.8650963597430406,0.061386138613861385,0.03854389721627409,5.893004115226337,0.07314944134078212
2016,A.J. Green,WR,28,76,207,0,0,0,66,964,4,100,289,964,4,Bengals,CIN,325.0,315.0,5711.0,563.0,3942.0,18.0,446.0,1769.0,17.0,341.0,17.0,0.537,0.056908,7.001776,3.966368,0.016848,0.66,14.606060606060606,9.64,4.378787878787879,0.06060606060606061,0.04,0.0,0.0,14.606060606060606,0.06060606060606061,7.001776198934281,3.9663677130044843,0.03197158081705151,0.03811659192825112,5.6600594648166505,0.05690772194011556
