Year,Name,Position,Age,RushYDs,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs
2015,A.J. Green,WR,27,0,0,0,86,1297,10,132,350,1297,10
2015,Aaron Ripkowski,RB,23,0,0,0,1,18,0,1,14,18,0
2015,Adam Humphries,WR,22,0,0,0,27,260,1,41,126,260,1
2015,Adam Thielen,WR,28,89,4,0,12,144,0,18,51,233,0
2015,Adrian Peterson,RB,30,1485,327,11,30,222,0,36,257,1707,11
2015,Ahmad Bradshaw,RB,29,85,31,0,10,64,3,13,55,149,3
2015,Albert Wilson,WR,23,26,5,0,35,451,2,57,224,477,2
2015,Alfred Blue,RB,24,698,183,2,15,109,1,16,70,807,3
2015,Alfred Morris,RB,27,751,202,1,10,55,0,13,38,806,1
2015,Allen Hurns,WR,24,0,0,0,64,1031,10,104,344,1031,10
2015,Allen Robinson,WR,22,0,0,0,80,1400,14,153,379,1400,14
2015,Alshon Jeffery,WR,25,0,0,0,54,807,4,93,190,807,4
2015,Amari Cooper,WR,21,-3,3,0,72,1070,6,130,384,1067,6
2015,Ameer Abdullah,RB,22,597,143,2,25,183,1,39,206,780,3
2015,Andre Caldwell,WR,30,3,1,0,10,72,2,22,17,75,2
2015,Andre Ellington,RB,26,289,45,3,15,148,0,24,83,437,3
2015,Andre Holmes,WR,27,0,0,0,14,201,4,33,55,201,4
2015,Andre Johnson,WR,34,0,0,0,41,503,4,77,165,503,4
2015,Andre Roberts,WR,27,0,0,0,11,135,0,21,40,135,0
2015,Andre Williams,RB,23,257,88,1,1,7,0,3,3,264,1
2015,Andrew Hawkins,WR,29,0,0,0,27,276,0,44,122,276,0
2015,Anquan Boldin,WR,35,0,0,0,69,789,4,110,305,789,4
2015,Anthony Dixon,RB,28,44,21,1,6,44,0,7,29,88,1
2015,Anthony Fasano,TE,31,0,0,0,26,289,2,42,146,289,2
2015,Anthony Sherman,RB,27,0,1,0,4,34,0,5,39,34,0
2015,Antonio Andrews,RB,23,520,143,3,21,174,0,29,177,694,3
2015,Antonio Brown,WR,27,28,3,0,136,1834,10,195,612,1862,10
2015,Antonio Gates,TE,35,0,0,0,56,630,5,84,244,630,5
2015,Arian Foster,RB,29,163,63,1,22,227,2,28,161,390,3
2015,Austin Johnson,RB,26,9,4,1,5,30,0,8,22,39,1
2015,Austin Seferian-Jenkins,TE,23,0,0,0,21,338,4,40,105,338,4
2015,Bennie Fowler,WR,24,0,0,0,16,203,0,24,100,203,0
2015,Benny Cunningham,RB,25,140,37,0,26,250,0,36,250,390,0
2015,Bilal Powell,RB,27,313,70,1,47,388,2,64,441,701,3
2015,Bishop Sankey,RB,23,193,47,1,14,139,1,22,149,332,2
2015,Blake Bell,TE,24,0,0,0,15,186,0,24,92,186,0
2015,Bobby Rainey,RB,28,18,5,0,3,16,0,3,24,34,0
2015,Brandin Cooks,WR,22,18,8,0,84,1138,9,129,388,1156,9
2015,Brandon Bolden,RB,25,207,63,0,19,180,2,30,144,387,2
2015,Brandon Coleman,WR,23,0,0,0,30,454,2,49,125,454,2
2015,Brandon LaFell,WR,29,9,2,0,37,515,0,74,241,524,0
2015,Brandon Marshall,WR,31,0,0,0,109,1502,14,174,430,1502,14
2015,Brandon Myers,TE,30,0,0,0,12,127,0,17,22,127,0
2015,Brandon Pettigrew,TE,30,0,0,0,7,67,1,15,39,67,1
2015,Brandon Tate,WR,28,0,0,0,2,59,1,3,12,59,1
2015,Brent Celek,TE,30,0,0,0,27,398,3,35,183,398,3
2015,Brian Hartline,WR,29,0,0,0,46,523,2,74,169,523,2
2015,Brian Quick,WR,26,0,0,0,10,102,0,32,42,102,0
2015,Brice Butler,WR,25,0,0,0,12,258,0,26,103,258,0
2015,Brittan Golden,WR,27,0,0,0,1,5,0,1,0,5,0
2015,Bruce Ellington,WR,25,7,1,0,13,153,0,19,110,160,0
2015,Bruce Miller,RB,28,14,6,1,10,135,0,13,102,149,1
2015,Bryan Walters,WR,28,0,0,0,32,368,1,46,124,368,1
2015,Bryce Brown,RB,24,72,25,1,0,0,0,2,0,72,1
2015,C.J. Anderson,RB,24,720,152,5,25,183,0,36,150,903,5
2015,C.J. Fiedorowicz,TE,24,0,0,0,17,167,1,24,76,167,1
2015,C.J. Spiller,RB,28,112,36,0,34,239,2,44,256,351,2
2015,C.J. Uzomah,TE,22,0,0,0,1,4,0,1,1,4,0
2015,Calvin Johnson,WR,30,0,0,0,88,1214,9,150,312,1214,9
2015,Cameron Artis-Payne,RB,25,183,45,1,5,58,0,5,62,241,1
2015,Cameron Brate,TE,24,0,0,0,23,288,3,30,57,288,3
2015,Cameron Meredith,WR,23,0,0,0,11,120,0,16,39,120,0
2015,Carlos Hyde,RB,25,470,115,3,11,53,0,15,64,523,3
2015,Cecil Shorts,WR,28,47,10,0,42,484,2,74,223,531,2
