Year,Name,Position,Age,Height (in),Weight (lbs),RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate
2019,A.J. Brown,WR,22,73,226,60,3,1,52,1051,8,84,462,1111,9,Titans,TEN,402,331,5805,448,3582,29,445,2223,21,317,17,77.36%,0.069251,7.995536,4.995506,0.019037
2020,A.J. Brown,WR,23,72,226,0,0,0,70,1075,11,106,426,1075,11,Titans,TEN,491,439,6343,485,3653,33,521,2690,26,381,12,74.24%,0.077408,7.531959,5.163148,0.011928
2021,A.J. Brown,WR,24,73,226,10,2,0,63,869,5,105,235,879,5,Titans,TEN,419,354,5822,535,3418,22,551,2404,23,362,25,62.50%,0.071968,6.388785,4.362976,0.02302
2022,A.J. Brown,WR,25,73,226,0,0,0,88,1496,11,145,552,1496,11,Eagles,PHI,477,344,6614,536,4105,25,544,2509,32,385,19,68.00%,0.07212,7.658582,4.612132,0.017593
2023,A.J. Brown,WR,26,73,226,0,0,0,106,1456,7,158,473,1456,7,Eagles,PHI,433,428,6024,563,3834,24,510,2190,22,377,28,59.68%,0.071879,6.809947,4.294118,0.026095
2016,A.J. Derby,TE,25,77,255,0,0,0,16,160,0,19,49,160,0,Broncos,DEN,333,297,5169,570,3685,20,410,1484,11,290,25,46.81%,0.064423,6.464912,3.619512,0.02551
2017,A.J. Derby,TE,26,77,255,0,0,0,21,244,2,41,93,244,2,Dolphins,MIA,281,393,4923,602,3535,24,360,1388,4,284,29,52.63%,0.057079,5.872093,3.855556,0.030146
2018,A.J. Derby,TE,27,77,240,0,0,0,3,48,1,5,9,48,1,Dolphins,MIA,319,433,4638,455,2900,26,371,1738,7,252,23,51.61%,0.06878,6.373626,4.684636,0.027845
2015,A.J. Green,WR,27,76,207,0,0,0,86,1297,10,132,350,1297,10,Bengals,CIN,419,279,5728,505,3923,31,467,1805,18,324,17,65.00%,0.073149,7.768317,3.865096,0.01749
2016,A.J. Green,WR,28,76,207,0,0,0,66,964,4,100,289,964,4,Bengals,CIN,325,315,5711,563,3942,18,446,1769,17,341,17,53.70%,0.056908,7.001776,3.966368,0.016848
