Year,Team,Points Scored,Points Allowed,Total Yards,Passing Yards,Rushing Yards,First Downs,Turnovers,Rush Attempts,Pass Attempts,RZSP
2015,49ers,238,387,4860,3316,1544,261,17,390,526,43.59%
2015,Bears,335,397,5514,3663,1851,312,21,469,523,48.98%
2015,Bengals,419,279,5728,3923,1805,324,17,467,505,65.00%
2015,Bills,379,359,5775,3343,2432,297,19,509,465,50.00%
2015,Broncos,355,296,5688,3970,1718,314,31,411,606,46.15%
2015,Browns,278,432,5311,3782,1529,307,30,380,609,38.30%
2015,Buccaneers,342,417,6014,3852,2162,336,28,455,535,52.94%
2015,Cardinals,489,313,6533,4616,1917,373,24,452,562,60.00%
2015,Chargers,320,398,5949,4591,1358,344,24,393,667,63.64%
2015,Chiefs,405,287,5299,3255,2044,303,15,436,473,57.38%
2015,Colts,333,408,5142,3704,1438,311,30,396,619,53.06%
2015,Commanders,388,379,5661,4095,1566,317,22,429,555,58.49%
2015,Cowboys,275,374,5361,3471,1890,307,33,408,528,44.44%
2015,Dolphins,310,389,5307,3811,1496,291,19,344,588,53.49%
2015,Eagles,377,430,5830,4087,1743,339,31,442,623,55.81%
2015,Falcons,339,345,5990,4379,1611,359,30,420,621,54.72%
2015,Giants,420,442,5952,4343,1609,331,21,403,623,44.44%
2015,Jaguars,376,448,5581,4108,1473,313,28,354,607,53.70%
2015,Jets,387,314,5925,4057,1868,329,24,448,604,66.04%
2015,Lions,358,400,5547,4212,1335,337,24,354,632,69.39%
2015,Packers,368,323,5353,3503,1850,317,17,436,573,55.00%
2015,Panthers,500,308,5871,3589,2282,357,19,526,501,69.44%
2015,Patriots,465,315,5991,4587,1404,347,14,383,629,65.22%
2015,Raiders,359,399,5336,3879,1457,300,24,370,605,60.98%
2015,Rams,280,330,4761,2805,1956,241,21,429,473,52.78%
2015,Ravens,328,401,5749,4271,1478,323,28,383,676,48.94%
2015,Saints,408,476,6461,4970,1491,381,20,397,667,60.34%
2015,Seahawks,423,277,6058,3790,2268,335,16,501,489,55.56%
2015,Steelers,423,319,6327,4603,1724,331,28,388,590,57.14%
2015,Texans,339,313,5564,3833,1731,335,20,472,619,56.52%
2015,Titans,299,423,4988,3503,1485,298,33,371,551,65.00%
2015,Vikings,365,302,5139,2928,2211,297,17,474,454,47.73%
2016,49ers,309,480,4930,2911,2019,287,25,458,491,68.18%
2016,Bears,279,399,5704,3969,1735,324,31,380,559,51.02%
2016,Bengals,325,315,5711,3942,1769,341,17,446,563,53.70%
2016,Bills,399,378,5666,3036,2630,328,12,492,474,64.81%
2016,Broncos,333,297,5169,3685,1484,290,25,410,570,46.81%
2016,Browns,264,452,4976,3264,1712,296,25,350,567,54.55%
2016,Buccaneers,354,369,5542,3926,1616,340,27,453,578,51.85%
2016,Cardinals,418,362,5868,4136,1732,368,28,399,646,64.81%
2016,Chargers,410,423,5708,4198,1510,340,35,398,580,51.61%
2016,Chiefs,389,311,5488,3740,1748,305,17,412,546,47.37%
2016,Colts,411,392,5830,4202,1628,351,22,409,584,66.04%
2016,Commanders,396,383,6454,4758,1696,345,21,379,607,45.90%
2016,Cowboys,421,306,6027,3631,2396,358,15,499,483,65.57%
2016,Dolphins,363,380,5324,3500,1824,278,23,405,477,55.10%
2016,Eagles,367,331,5398,3585,1813,333,20,438,609,49.09%
2016,Falcons,540,406,6653,4725,1928,379,11,421,537,64.56%
2016,Giants,310,284,5291,3879,1412,289,27,398,598,51.11%
