Year,Team,Team_PassingTDs,Team_RushingTDs,,,idk what this is
2023,Cowboys,36,14,,,Dallas Cowboys
2023,Dolphins,30,27,,,Miami Dolphins
2023,49ers,33,27,,,San Francisco 49ers
2023,Ravens,27,26,,,Baltimore Ravens
2023,Lions,30,27,,,Detroit Lions
2023,Bills,29,22,,,Buffalo Bills
2023,Eagles,24,22,,,Philadelphia Eagles
2023,Rams,26,18,,,Los Angeles Rams
2023,Saints,28,13,,,New Orleans Saints
2023,Colts,18,19,,,Indianapolis Colts
2023,Browns,24,15,,,Cleveland Browns
2023,Packers,32,10,,,Green Bay Packers
2023,Texans,27,10,,,Houston Texans
2023,Jaguars,22,17,,,Jacksonville Jaguars
2023,Chiefs,28,9,,,Kansas City Chiefs
2023,Bengals,27,12,,,Cincinnati Bengals
2023,Seahawks,23,11,,,Seattle Seahawks
2023,Bears,19,16,,,Chicago Bears
2023,Broncos,28,8,,,Denver Broncos
2023,Buccaneers,28,8,,,Tampa Bay Buccaneers
2023,Chargers,24,11,,,Los Angeles Chargers
2023,Vikings,30,7,,,Minnesota Vikings
2023,Raiders,20,11,,,Las Vegas Raiders
2023,Cardinals,18,17,,,Arizona Cardinals
2023,Commanders,24,14,,,Washington Commanders
2023,Falcons,17,14,,,Atlanta Falcons
2023,Titans,14,16,,,Tennessee Titans
2023,Steelers,13,16,,,Pittsburgh Steelers
2023,Jets,11,7,,,New York Jets
2023,Giants,15,10,,,New York Giants
2023,Patriots,16,9,,,New England Patriots
2023,Panthers,13,7,,,Carolina Panthers
2022,Chiefs,41,18,,,Kansas City Chiefs
2022,Eagles,25,32,,,Philadelphia Eagles
2022,Cowboys,28,24,,,Dallas Cowboys
2022,Bills,35,15,,,Buffalo Bills
2022,Lions,29,23,,,Detroit Lions
2022,49ers,30,20,,,San Francisco 49ers
2022,Vikings,30,18,,,Minnesota Vikings
2022,Bengals,35,14,,,Cincinnati Bengals
2022,Seahawks,30,12,,,Seattle Seahawks
2022,Jaguars,25,16,,,Jacksonville Jaguars
2022,Dolphins,30,12,,,Miami Dolphins
2022,Raiders,28,12,,,Las Vegas Raiders
2022,Chargers,26,15,,,Los Angeles Chargers
2022,Packers,27,12,,,Green Bay Packers
2022,Falcons,17,17,,,Atlanta Falcons
2022,Giants,17,21,,,New York Giants
2022,Patriots,19,12,,,New England Patriots
2022,Browns,19,19,,,Cleveland Browns
2022,Ravens,19,14,,,Baltimore Ravens
2022,Panthers,16,16,,,Carolina Panthers
2022,Cardinals,17,15,,,Arizona Cardinals
2022,Saints,24,12,,,New Orleans Saints
2022,Bears,19,18,,,Chicago Bears
2022,Commanders,24,9,,,Washington Commanders
2022,Buccaneers,26,5,,,Tampa Bay Buccaneers
2022,Steelers,12,16,,,Pittsburgh Steelers
2022,Rams,16,15,,,Los Angeles Rams
2022,Titans,16,16,,,Tennessee Titans
2022,Jets,15,13,,,New York Jets
2022,Texans,20,7,,,Houston Texans
2022,Colts,17,8,,,Indianapolis Colts
2022,Broncos,18,11,,,Denver Broncos
2021,Cowboys,40,15,,,Dallas Cowboys
2021,Buccaneers,43,18,,,Tampa Bay Buccaneers
2021,Bills,36,20,,,Buffalo Bills
2021,Chiefs,37,16,,,Kansas City Chiefs
2021,Chargers,38,18,,,Los Angeles Chargers
2021,Patriots,24,24,,,New England Patriots
2021,Bengals,36,16,,,Cincinnati Bengals
2021,Rams,41,10,,,Los Angeles Rams
2021,Colts,27,22,,,Indianapolis Colts
2021,Packers,39,13,,,Green Bay Packers
2021,Cardinals,27,23,,,Arizona Cardinals
2021,Eagles,20,25,,,Philadelphia Eagles
2021,49ers,26,22,,,San Francisco 49ers
2021,Vikings,34,10,,,Minnesota Vikings
2021,Titans,22,23,,,Tennessee Titans
2021,Seahawks,30,18,,,Seattle Seahawks
2021,Ravens,21,18,,,Baltimore Ravens
2021,Raiders,23,14,,,Las Vegas Raiders
2021,Saints,29,12,,,New Orleans Saints
2021,Browns,21,20,,,Cleveland Browns
2021,Steelers,23,10,,,Pittsburgh Steelers
2021,Dolphins,21,12,,,Miami Dolphins
2021,Broncos,20,16,,,Denver Broncos
2021,Team,21,13,,,Washington Football Team
2021,Lions,23,12,,,Detroit Lions
2021,Falcons,20,11,,,Atlanta Falcons
2021,Bears,16,14,,,Chicago Bears
2021,Jets,20,14,,,New York Jets
2021,Panthers,14,17,,,Carolina Panthers
2021,Texans,21,8,,,Houston Texans
2021,Giants,15,8,,,New York Giants
2021,Jaguars,12,13,,,Jacksonville Jaguars
2020,Packers,48,16,,,Green Bay Packers
2020,Bills,40,16,,,Buffalo Bills
2020,Buccaneers,42,16,,,Tampa Bay Buccaneers
2020,Titans,33,26,,,Tennessee Titans
2020,Saints,28,30,,,New Orleans Saints
2020,Chiefs,40,13,,,Kansas City Chiefs
2020,Ravens,27,24,,,Baltimore Ravens
2020,Seahawks,40,15,,,Seattle Seahawks
2020,Colts,24,20,,,Indianapolis Colts
2020,Raiders,28,20,,,Las Vegas Raiders
2020,Vikings,35,20,,,Minnesota Vikings
2020,Steelers,35,12,,,Pittsburgh Steelers
2020,Cardinals,27,22,,,Arizona Cardinals
2020,Browns,27,21,,,Cleveland Browns
2020,Dolphins,24,15,,,Miami Dolphins
2020,Falcons,27,13,,,Atlanta Falcons
2020,Cowboys,25,14,,,Dallas Cowboys
2020,Texans,33,10,,,Houston Texans
2020,Chargers,31,12,,,Los Angeles Chargers
2020,Lions,27,17,,,Detroit Lions
2020,49ers,25,19,,,San Francisco 49ers
2020,Rams,20,19,,,Los Angeles Rams
2020,Bears,26,12,,,Chicago Bears
2020,Panthers,16,19,,,Carolina Panthers
2020,Team,16,18,,,Washington Football Team
2020,Eagles,22,16,,,Philadelphia Eagles
2020,Patriots,12,20,,,New England Patriots
2020,Broncos,21,13,,,Denver Broncos
2020,Bengals,19,13,,,Cincinnati Bengals
2020,Jaguars,25,9,,,Jacksonville Jaguars
2020,Giants,12,13,,,New York Giants
2020,Jets,16,9,,,New York Jets
2019,Ravens,37,21,,,Baltimore Ravens
2019,49ers,28,23,,,San Francisco 49ers
2019,Buccaneers,33,15,,,Tampa Bay Buccaneers
2019,Saints,36,12,,,New Orleans Saints
2019,Chiefs,30,16,,,Kansas City Chiefs
2019,Cowboys,30,18,,,Dallas Cowboys
2019,Patriots,25,17,,,New England Patriots
2019,Vikings,26,19,,,Minnesota Vikings
2019,Seahawks,31,15,,,Seattle Seahawks
2019,Titans,29,21,,,Tennessee Titans
2019,Rams,22,20,,,Los Angeles Rams
2019,Eagles,27,16,,,Philadelphia Eagles
2019,Falcons,29,10,,,Atlanta Falcons
2019,Texans,27,17,,,Houston Texans
2019,Packers,26,18,,,Green Bay Packers
2019,Cardinals,20,18,,,Arizona Cardinals
2019,Colts,22,17,,,Indianapolis Colts
2019,Lions,28,7,,,Detroit Lions
2019,Giants,30,11,,,New York Giants
2019,Panthers,17,20,,,Carolina Panthers
2019,Chargers,24,12,,,Los Angeles Chargers
2019,Browns,22,15,,,Cleveland Browns
2019,Bills,21,13,,,Buffalo Bills
2019,Raiders,22,13,,,Oakland Raiders
2019,Dolphins,22,10,,,Miami Dolphins
2019,Jaguars,24,3,,,Jacksonville Jaguars
2019,Steelers,18,7,,,Pittsburgh Steelers
2019,Broncos,16,11,,,Denver Broncos
2019,Bears,20,8,,,Chicago Bears
2019,Bengals,18,9,,,Cincinnati Bengals
2019,Jets,19,6,,,New York Jets
2019,Redskins,18,9,,,Washington Redskins
2018,Chiefs,50,16,,,Kansas City Chiefs
2018,Rams,32,23,,,Los Angeles Rams
2018,Saints,33,26,,,New Orleans Saints
2018,Patriots,29,18,,,New England Patriots
2018,Colts,39,13,,,Indianapolis Colts
2018,Seahawks,35,15,,,Seattle Seahawks
2018,Chargers,32,16,,,Los Angeles Chargers
2018,Steelers,35,16,,,Pittsburgh Steelers
2018,Bears,28,16,,,Chicago Bears
2018,Falcons,36,11,,,Atlanta Falcons
2018,Texans,26,12,,,Houston Texans
2018,Buccaneers,36,11,,,Tampa Bay Buccaneers
2018,Ravens,18,19,,,Baltimore Ravens
2018,Packers,25,14,,,Green Bay Packers
2018,Panthers,28,17,,,Carolina Panthers
2018,Giants,23,13,,,New York Giants
2018,Bengals,27,13,,,Cincinnati Bengals
2018,Eagles,29,12,,,Philadelphia Eagles
2018,Vikings,30,9,,,Minnesota Vikings
2018,Browns,29,15,,,Cleveland Browns
2018,49ers,26,7,,,San Francisco 49ers
2018,Cowboys,22,13,,,Dallas Cowboys
2018,Jets,18,11,,,New York Jets
2018,Broncos,19,18,,,Denver Broncos
2018,Lions,22,11,,,Detroit Lions
2018,Dolphins,26,7,,,Miami Dolphins
2018,Titans,16,15,,,Tennessee Titans
2018,Raiders,19,9,,,Oakland Raiders
2018,Redskins,16,12,,,Washington Redskins
2018,Bills,13,15,,,Buffalo Bills
2018,Jaguars,15,7,,,Jacksonville Jaguars
2018,Cardinals,15,9,,,Arizona Cardinals
2017,Rams,28,17,,,Los Angeles Rams
2017,Patriots,32,16,,,New England Patriots
2017,Eagles,38,9,,,Philadelphia Eagles
2017,Saints,23,23,,,New Orleans Saints
2017,Jaguars,21,18,,,Jacksonville Jaguars
2017,Chiefs,26,12,,,Kansas City Chiefs
2017,Lions,29,10,,,Detroit Lions
2017,Steelers,29,12,,,Pittsburgh Steelers
2017,Ravens,20,14,,,Baltimore Ravens
2017,Vikings,25,15,,,Minnesota Vikings
2017,Seahawks,34,4,,,Seattle Seahawks
2017,Panthers,22,15,,,Carolina Panthers
2017,Chargers,28,10,,,Los Angeles Chargers
2017,Cowboys,22,18,,,Dallas Cowboys
2017,Falcons,21,12,,,Atlanta Falcons
2017,Redskins,27,10,,,Washington Redskins
2017,Texans,28,8,,,Houston Texans
2017,Buccaneers,26,8,,,Tampa Bay Buccaneers
2017,Titans,14,18,,,Tennessee Titans
2017,49ers,15,15,,,San Francisco 49ers
2017,Packers,25,13,,,Green Bay Packers
2017,Bills,16,12,,,Buffalo Bills
2017,Raiders,23,13,,,Oakland Raiders
2017,Jets,19,13,,,New York Jets
2017,Cardinals,21,6,,,Arizona Cardinals
2017,Bengals,25,6,,,Cincinnati Bengals
2017,Broncos,19,8,,,Denver Broncos
2017,Dolphins,24,4,,,Miami Dolphins
2017,Bears,13,13,,,Chicago Bears
2017,Colts,13,11,,,Indianapolis Colts
2017,Giants,20,6,,,New York Giants
2017,Browns,15,11,,,Cleveland Browns
2016,Falcons,38,20,,,Atlanta Falcons
2016,Saints,38,17,,,New Orleans Saints
2016,Patriots,32,19,,,New England Patriots
2016,Packers,40,11,,,Green Bay Packers
2016,Cowboys,25,24,,,Dallas Cowboys
2016,Cardinals,28,20,,,Arizona Cardinals
2016,Raiders,29,17,,,Oakland Raiders
2016,Colts,32,13,,,Indianapolis Colts
2016,Chargers,33,10,,,San Diego Chargers
2016,Bills,17,29,,,Buffalo Bills
2016,Steelers,33,13,,,Pittsburgh Steelers
2016,Redskins,25,17,,,Washington Redskins
2016,Chiefs,19,15,,,Kansas City Chiefs
2016,Titans,29,16,,,Tennessee Titans
2016,Panthers,21,16,,,Carolina Panthers
2016,Eagles,16,16,,,Philadelphia Eagles
2016,Dolphins,27,14,,,Miami Dolphins
2016,Seahawks,23,13,,,Seattle Seahawks
2016,Buccaneers,29,8,,,Tampa Bay Buccaneers
2016,Lions,24,9,,,Detroit Lions
2016,Ravens,20,10,,,Baltimore Ravens
