Year,Name,RushYDs,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,REC_YACR,TotalYards,TotalTDs,Age,Pos
2015,A.J. Green,0.0,0.0,0.0,86.0,1297.0,10.0,132.0,350.0,1297.0,10.0,27.0,WR
2015,Aaron Ripkowski,0.0,0.0,0.0,1.0,18.0,0.0,1.0,14.0,18.0,0.0,Unknown,RB
2015,Adam Humphries,0.0,0.0,0.0,27.0,260.0,1.0,41.0,126.0,260.0,1.0,22.0,WR
2015,Adam Thielen,89.0,4.0,0.0,12.0,144.0,0.0,18.0,51.0,233.0,0.0,Unknown,WR
2015,Adrian Peterson,1485.0,327.0,11.0,30.0,222.0,0.0,36.0,257.0,1707.0,11.0,Unknown,RB
2015,Ahmad Bradshaw,85.0,31.0,0.0,10.0,64.0,3.0,13.0,55.0,149.0,3.0,29.0,RB
2015,Albert Wilson,26.0,5.0,0.0,35.0,451.0,2.0,57.0,224.0,477.0,2.0,23.0,WR
2015,Alfred Blue,698.0,183.0,2.0,15.0,109.0,1.0,16.0,70.0,807.0,3.0,24.0,RB
2015,Alfred Morris,751.0,202.0,1.0,10.0,55.0,0.0,13.0,38.0,806.0,1.0,27.0,RB
2015,Allen Hurns,0.0,0.0,0.0,64.0,1031.0,10.0,104.0,344.0,1031.0,10.0,24.0,WR
2015,Allen Robinson,0.0,0.0,0.0,80.0,1400.0,14.0,153.0,379.0,1400.0,14.0,22.0,WR
2015,Alshon Jeffery,0.0,0.0,0.0,54.0,807.0,4.0,93.0,190.0,807.0,4.0,25.0,WR
2015,Amari Cooper,-3.0,3.0,0.0,72.0,1070.0,6.0,130.0,384.0,1067.0,6.0,21.0,WR
2015,Ameer Abdullah,597.0,143.0,2.0,25.0,183.0,1.0,39.0,206.0,780.0,3.0,22.0,RB
2015,Andre Caldwell,3.0,1.0,0.0,10.0,72.0,2.0,22.0,17.0,75.0,2.0,30.0,WR
2015,Andre Ellington,289.0,45.0,3.0,15.0,148.0,0.0,24.0,83.0,437.0,3.0,26.0,RB
2015,Andre Holmes,0.0,0.0,0.0,14.0,201.0,4.0,33.0,55.0,201.0,4.0,27.0,WR
2015,Andre Johnson,0.0,0.0,0.0,41.0,503.0,4.0,77.0,165.0,503.0,4.0,34.0,WR
2015,Andre Roberts,0.0,0.0,0.0,11.0,135.0,0.0,21.0,40.0,135.0,0.0,27.0,WR
2015,Andre Williams,257.0,88.0,1.0,1.0,7.0,0.0,3.0,3.0,264.0,1.0,23.0,RB
2015,Andrew Hawkins,0.0,0.0,0.0,27.0,276.0,0.0,44.0,122.0,276.0,0.0,29.0,WR
2015,Anquan Boldin,0.0,0.0,0.0,69.0,789.0,4.0,110.0,305.0,789.0,4.0,35.0,WR
2015,Anthony Dixon,44.0,21.0,1.0,6.0,44.0,0.0,7.0,29.0,88.0,1.0,28.0,RB
2015,Anthony Fasano,0.0,0.0,0.0,26.0,289.0,2.0,42.0,146.0,289.0,2.0,31.0,TE
2015,Anthony Sherman,0.0,1.0,0.0,4.0,34.0,0.0,5.0,39.0,34.0,0.0,Unknown,RB
2015,Antonio Andrews,520.0,143.0,3.0,21.0,174.0,0.0,29.0,177.0,694.0,3.0,23.0,RB
2015,Antonio Brown,28.0,3.0,0.0,136.0,1834.0,10.0,195.0,612.0,1862.0,10.0,Unknown,WR
2015,Antonio Gates,0.0,0.0,0.0,56.0,630.0,5.0,84.0,244.0,630.0,5.0,35.0,TE
2015,Arian Foster,163.0,63.0,1.0,22.0,227.0,2.0,28.0,161.0,390.0,3.0,29.0,RB
