Year,Name,Position,Age,Height (in),Weight (lbs),G,GS,RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate,Catch%,YardsPerReception,YardsPerTarget,YACPerReception,TDperReception,TDperTarget,YardsPerRush,TDperRush,TotalYardsPerTouch,TotalTDsPerTouch,TeamPassingYardsPerAttempt,TeamRushingYardsPerAttempt,TeamPassingTDPercentage,TeamRushingTDPercentage,TeamYardsPerPlay,TeamPointsPerYard,RZ Completions,RZ Targets,RZ CompPercent,RZ Rec TDs,RZ Rushes,RZ Rush TDs,PPR,PosRank
2019,A.J. Brown,WR,22,73,226,16,11,60,3,1,52,1051,8,84,462,1111,9,Titans,TEN,402.0,331.0,5805,448,3582,29,445,2223,21,317,17,0.7736,0.069251,7.995536,4.995506,0.019037,0.619048,20.21154,12.5119,8.884615,0.153846,0.095238,20.0,0.333333,20.2,0.163636,7.995536,4.995506,0.064732,0.047191,6.50056,0.069251,5,8,0.625,4,0,0,217.1,9
2020,A.J. Brown,WR,23,72,226,14,12,0,0,0,70,1075,11,106,426,1075,11,Titans,TEN,491.0,439.0,6343,485,3653,33,521,2690,26,381,12,0.7424,0.077408,7.531959,5.163148,0.011928,0.660377,15.35714,10.14151,6.085714,0.157143,0.103774,0.0,0.0,15.35714,0.157143,7.531959,5.163148,0.068041,0.049904,6.305169,0.077408,10,15,0.6667,8,0,0,247.5,9
2021,A.J. Brown,WR,24,73,226,13,13,10,2,0,63,869,5,105,235,879,5,Titans,TEN,419.0,354.0,5822,535,3418,22,551,2404,23,362,25,0.625,0.071968,6.388785,4.362976,0.02302,0.6,13.79365,8.27619,3.730159,0.079365,0.047619,5.0,0.0,13.52308,0.076923,6.388785,4.362976,0.041121,0.041742,5.360958,0.071968,4,10,0.4,2,1,0,180.9,32
2022,A.J. Brown,WR,25,73,226,17,16,0,0,0,88,1496,11,145,552,1496,11,Eagles,PHI,477.0,344.0,6614,536,4105,25,544,2509,32,385,19,0.68,0.07212,7.658582,4.612132,0.017593,0.606897,17.0,10.31724,6.272727,0.125,0.075862,0.0,0.0,17.0,0.125,7.658582,4.612132,0.046642,0.058824,6.124074,0.07212,10,18,0.5556,5,0,0,299.6,4
2023,A.J. Brown,WR,26,73,226,17,17,0,0,0,106,1456,7,158,473,1456,7,Eagles,PHI,433.0,428.0,6024,563,3834,24,510,2190,22,377,28,0.5968,0.071879,6.809947,4.294118,0.026095,0.670886,13.73585,9.21519,4.462264,0.066038,0.044304,0.0,0.0,13.73585,0.066038,6.809947,4.294118,0.042629,0.043137,5.614166,0.071879,13,23,0.5652,4,0,0,289.6,8
2016,A.J. Derby,TE,25,77,255,10,3,0,0,0,16,160,0,19,49,160,0,Broncos,DEN,333.0,297.0,5169,570,3685,20,410,1484,11,290,25,0.4681,0.064423,6.464912,3.619512,0.02551,0.842105,10.0,8.421053,3.0625,0.0,0.0,0.0,0.0,10.0,0.0,6.464912,3.619512,0.035088,0.026829,5.27449,0.064423,1,1,1.0,0,0,0,30.0,63
2017,A.J. Derby,TE,26,77,255,11,1,0,0,0,21,244,2,41,93,244,2,Dolphins,MIA,281.0,393.0,4923,602,3535,24,360,1388,4,284,29,0.5263,0.057079,5.872093,3.855556,0.030146,0.512195,11.61905,5.95122,4.428571,0.095238,0.04878,0.0,0.0,11.61905,0.095238,5.872093,3.855556,0.039867,0.011111,5.117464,0.057079,1,4,0.25,0,0,0,55.4,41
2018,A.J. Derby,TE,27,77,240,4,0,0,0,0,3,48,1,5,9,48,1,Dolphins,MIA,319.0,433.0,4638,455,2900,26,371,1738,7,252,23,0.5161,0.06878,6.373626,4.684636,0.027845,0.6,16.0,9.6,3.0,0.333333,0.2,0.0,0.0,16.0,0.333333,6.373626,4.684636,0.057143,0.018868,5.615012,0.06878,1,2,0.5,1,0,0,13.8,76
2015,A.J. Green,WR,27,76,207,16,16,0,0,0,86,1297,10,132,350,1297,10,Bengals,CIN,419.0,279.0,5728,505,3923,31,467,1805,18,324,17,0.65,0.073149,7.768317,3.865096,0.01749,0.651515,15.0814,9.825758,4.069767,0.116279,0.075758,0.0,0.0,15.0814,0.116279,7.768317,3.865096,0.061386,0.038544,5.893004,0.073149,12,22,0.5455,7,0,0,273.7,8
2016,A.J. Green,WR,28,76,207,10,10,0,0,0,66,964,4,100,289,964,4,Bengals,CIN,325.0,315.0,5711,563,3942,18,446,1769,17,341,17,0.537,0.056908,7.001776,3.966368,0.016848,0.66,14.60606,9.64,4.378788,0.060606,0.04,0.0,0.0,14.60606,0.060606,7.001776,3.966368,0.031972,0.038117,5.660059,0.056908,8,10,0.8,2,0,0,186.4,34
